Job,ProjectId,DivKey,PMName,Customer,Status,ContractType,City,State,DateActive,StartDate,EndDate
MDG Warehouse Demising Wall,2887165,UN,(Unassigned),MDG Real Estate LLC,ACTIVE,FIXED_PRICE,Noblesville,IN,2026-06-08,2026-06-08,
DS.2026.2436 25 Harper Estates,2887151,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-06-08,2026-06-01,
DS.2026.2435 21 Harper Estates,2887141,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-06-08,2026-06-01,
DS.2026.2434 19 Harper Estates,2887107,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-06-08,2026-06-01,
DS.2026.2433 Liberty Assisted Living 0529,2872036,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-06-01,2026-05-29,
DS.2026.2432 Liberty Assisted LIving 0528,2872017,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-06-01,2026-05-28,
DS.2026.2431 123 Centre Place,2872004,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-06-01,2026-05-28,
DS.2026.2430 119 Centre Place,2871958,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-06-01,2026-05-28,
DS.2026.2429 108 Centre Place,2871926,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-06-01,2026-05-28,
DS.2026.2428 9 Centre Place,2871859,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-06-01,2026-05-28,
DS.2026.2427 Dapp Garage,2863766,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-05-27,2026-05-26,
DS.2026.2426 121 Centre Place,2863755,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-05-27,2026-05-22,
DS.2026.2425 14 Parks,2863752,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-05-27,2026-05-22,
DS.2026.2424 10566 Coppergate,2863728,UN,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-05-27,2026-05-22,
DS.2026.2423 10816 McPherson St,2863715,UN,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-05-27,2026-05-21,
DS.2026.2422 10814 McPherson St,2863703,UN,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-05-27,2026-05-21,
DS.2026.2421 Flores Ohio Job,2863678,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-05-27,2026-05-20,
DS.2026.2420 7508 Central Ave,2852408,UN,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-05-20,2026-05-18,
DS.2026.2419 120 Centre Place,2852375,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-05-20,2026-05-14,
DS.2026.2418 118 Centre Place,2844284,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-05-15,2026-05-13,
DS.2026.2417 117 Centre Place,2844272,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-05-15,2026-05-13,
DS.2026.2416 52 Centre Place,2844253,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-05-15,2026-05-13,
DS.2026.2415 10826 McPherson St,2844241,UN,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-05-15,2026-05-15,
DS.2026.2414 10824 McPherson St,2844222,UN,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-05-15,2026-05-13,
DS.2026.2413 Precision Pickup 0501,2834059,UN,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-05-11,2026-05-01,
DS.2026.2412 10732 Heaven Cove Way,2834016,UN,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-05-11,2026-05-05,
DS.2026.2411 Clark Remodel,2818141,UN,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-05-01,2026-04-30,
2026.1055 Primo - Indy 5,2810234,UN,(Unassigned),Sulak General Contractors,ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Greenwood,IN,2026-05-29,,
2026.1053 Lot 32 Vacant TI,2803284,TI,Spencer Anderson,Holladay Construction Group,ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Indianapolis,IN,2026-05-06,2026-05-20,2026-07-16
DS.2026.2410 Courtyards of Russell Oaks 113,2796562,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-04-21,2026-04-17,
DS.2026.2409 Precision Pickup 0410,2796526,UN,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,,2026-04-21,2026-04-10,
DS.2026.2408 Courtyards of Westfield 107,2782708,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,,2026-04-14,2026-04-13,
DS.2026.2407 Courtyards of Russel Oaks 126,2782668,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-04-14,2026-04-08,
DS.2026.2406 Premier Custom Homes Quote,2763556,UN,(Unassigned),Premier Custom Homes,ACTIVE,FIXED_PRICE,,,2026-04-09,2026-04-06,
DS.2026.2405 21569 Anchor Bay Drive,2762554,DW,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-04-03,2026-04-03,
2026.1051 Park 130 Building 8,2761732,TI,Spencer Anderson,"The Peterson Company, LLC",ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Lebanon,IN,2026-05-06,2026-08-01,2026-11-01
DS.2026.2404 Flores Sandhu Res,2759560,DW,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-04-02,2026-03-31,
DS.2026.2403 Big Dawg Pickup 0327,2750306,UN,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,,2026-03-30,2026-03-27,
DS.2026.2402 Courtyards of Cielo Ranch 17,2750278,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-03-30,2026-03-27,
DS.2026.2401 Flores Kenneland,2750126,DW,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-03-30,2026-03-20,2026-03-20
DS.2026.2400 Courtyards of Russell Oaks 115,2733362,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-03-20,2026-03-19,
DS.2026.2399 Courtyards of Russell Oaks 74,2733343,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-03-20,2026-03-19,
DS.2026.2398 Courtyards of Ceilo Ranch 26,2733326,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-03-20,2026-03-18,
2026.1047 Springdale Building 4 Demising Walls,2726249,TI,Tommy Cohoat,"The Peterson Company, LLC",ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Springdale,OH,2026-04-29,2026-04-23,2026-05-29
DS.2026.2397 Courtyards of Cielo Ranch 26,2726122,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-03-17,2026-03-13,
2026.1046 Automatic Distributors (Park 130 Bldg 6),2715709,TI,Cole Garriott,"The Peterson Company, LLC",ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Whitestown,IN,2026-03-18,2026-04-06,2026-06-30
2026.1045 First OnSite (Ameriplex),2712233,TI,Spencer Anderson,Holladay Construction Group,ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Indianapolis,IN,2026-03-13,2026-03-17,
DS.2026.2396 6252 West Turtle Hill Ct,2703041,DW,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-03-05,2026-03-03,
DS.2026.2395 Courtyards of Westfield 103,2702940,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-03-05,2026-03-03,
2026.1043 Deer Creek Building 1,2701256,TI,Tommy Cohoat,Patch Development,ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Noblesville,IN,2026-03-10,2026-03-09,
DS.2026.2394 5778 Marvie Drive,2686749,DW,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-02-25,2026-02-24,
DS.2026.2393 Precision Pickup 0216,2684477,DW,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-02-24,2026-02-16,
2026.1056 Senator Banks Office,2681998,UN,Dustin Hurt,"BW Facility Management, LLC",ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Fishers,IN,2026-05-08,2026-05-08,2026-07-08
DS.2026.2392 3705 Holiday Farms Blvd - Precision,2676832,DW,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-02-19,2026-02-18,
DS.2026.2391 0218 Jose Iracheta,2676780,UN,(Unassigned),Kjt General Construction,ACTIVE,FIXED_PRICE,,IN,2026-02-19,2026-02-18,
DS.2026.2390 510 W Pine St,2676758,DW,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-02-19,2026-02-10,
DS.2026.2389 Courtyards of Russell Oaks 145,2675379,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-02-19,2026-02-17,
DS.2026.2388 Courtyards of Cielo Ranch 13,2675217,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-02-19,2026-02-10,
DS.2026.2387 0204 Jose Irachetta,2665957,UN,(Unassigned),Kjt General Construction,ACTIVE,FIXED_PRICE,,,2026-02-13,2026-02-04,
2026.1041 Whiteland Building 2 - Blackhawk,2656341,TI,Spencer Anderson,Patch Development,ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Whiteland,IN,2026-02-10,2026-03-30,2026-04-30
2026.1040 Lakeside Books,2653588,TI,Trevor Anderson,"The Peterson Company, LLC",ACTIVE,FIXED_PRICE,Avon,IN,2026-05-11,2026-02-07,
DS.2026.2386 Courtyards of Russell Oaks 125,2653377,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-02-06,2026-02-05,
DS.2026.2385 Courtyards of Russell Oaks 123,2653351,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-02-06,2026-02-05,
DS.2026.2384 225 N St Ave,2653309,DW,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-02-06,2026-02-04,
2026.1039 Upland Prospect Street,2652271,TI,Tommy Cohoat,"Bischoff Construction, LLC",ACTIVE,FIXED_PRICE,Indianapolis,IN,2026-02-06,2026-02-02,2026-02-20
DS.2026.2383 Courtyards of Cielo Ranch 37,2645199,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-02-03,2026-02-02,
DS.2026.2382 Cohoat House,2645179,DW,(Unassigned),Mendoza,ACTIVE,FIXED_PRICE,,IN,2026-02-03,2026-02-02,
2026.1037 CV - Castle Rock,2644918,TI,Ben Garza,"Bischoff Construction, LLC",ACTIVE,FIXED_PRICE,Castle Rock,CO,2026-02-05,2026-02-02,
2026.1036 Port Laredo Trade Center,2644454,TI,Ben Garza,ARCO Design/Build,ACTIVE,FIXED_PRICE_WITH_AIA_BILLING,Laredo,TX,2026-02-03,2026-02-05,
DS.2026.2381 Hunt Addition,2640941,DW,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-02-02,2026-01-30,
DS.2026.2380 Mike Valentine 0129,2637503,UN,(Unassigned),Michael Valentine,ACTIVE,FIXED_PRICE,,,2026-01-29,2026-01-29,
DS.2026.2379 124 S A Street,2637443,DW,(Unassigned),Flores Drywall and Remodeling LLC,ACTIVE,FIXED_PRICE,,IN,2026-01-29,2026-01-29,
DS.2026.2378 Courtyards of Westfield 108,2637384,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-01-29,2026-01-29,
DS.2026.2377 Courtyards of Cielo Ranch 38,2637358,DW,(Unassigned),Big Dawg Drywall,ACTIVE,FIXED_PRICE,,IN,2026-01-29,2026-01-28,
DS.2026.2376 5724 E Southport Rd,2637329,DW,(Unassigned),Precision Dry Wall,ACTIVE,FIXED_PRICE,,IN,2026-01-29,2026-01-27,
