Vendor,Bucket,Amount,AsOfDate
4BRO Construction LLC,Current,30093.9,2026-06-04
4BRO Construction LLC,61-90,2419.2,2026-06-04
4BRO Construction LLC,91+,11150.0,2026-06-04
84 Lumber,61-90,-692.49,2026-06-04
84 Lumber,91+,-530.29,2026-06-04
"ABC Supply Interiors, Inc. (L&W)",Current,16156.96,2026-06-04
"ABC Supply Interiors, Inc. (L&W)",91+,-3711.8,2026-06-04
ABM Parking Services,Current,180.0,2026-06-04
ADL Design & Construction LLC,91+,6316.5,2026-06-04
AMES Taping Tools,Current,285.14,2026-06-04
"ARC Document Solutions, LLC",Current,685.26,2026-06-04
"Armstrong World Industries, Inc.",91+,-150.69,2026-06-04
A Sign by Design,91+,9575.18,2026-06-04
AZS General Construction Corp,Current,45421.36,2026-06-04
AZS General Construction Corp,1-30,9423.8,2026-06-04
AZS General Construction Corp,31-60,2568.19,2026-06-04
AZS General Construction Corp,91+,7604.3,2026-06-04
BA Construction Remodeling LLC,Current,8208.0,2026-06-04
Barahona Painting LLC,Current,5935.38,2026-06-04
Bro's Drywall LLC,Current,9858.4,2026-06-04
Bro's Drywall LLC,31-60,48.0,2026-06-04
Bro's Drywall LLC,61-90,24.0,2026-06-04
Brother's Carpentry (Gustavo Gutierrez),Current,3425.05,2026-06-04
Brother's Carpentry (Gustavo Gutierrez),91+,652.0,2026-06-04
"Browning Chapman, LLC",Current,2550.0,2026-06-04
Castillo (Victor) Drywall & Scrap LLC,Current,2471.9,2026-06-04
C&C Martinez Drywall LLC,Current,32053.0,2026-06-04
C&C Martinez Drywall LLC,31-60,2100.8,2026-06-04
C&C Martinez Drywall LLC,61-90,1210.16,2026-06-04
C&C Martinez Drywall LLC,91+,1305.46,2026-06-04
CenterPoint Energy (auto 8003),Current,210.45,2026-06-04
Central Indiana Hardware (CIH),Current,2952.13,2026-06-04
"Cherokee Building Materials, Inc. (GMS)",61-90,-394.42,2026-06-04
"Cherokee Building Materials, Inc. (GMS)",91+,-233.25,2026-06-04
Chris Taylor,1-30,-250.0,2026-06-04
Concentra,61-90,125.0,2026-06-04
"Construction Specialties, Inc.",Current,2754.18,2026-06-04
"CraneWorks | CW Intermediate Holdco, LLC",Current,789.4,2026-06-04
Deem,Current,3325.0,2026-06-04
DIVISION 7 MTLS,Current,273.92,2026-06-04
Enterprise Rent a Car,Current,270.9,2026-06-04
Escot Painting LLC,Current,13877.5,2026-06-04
Escot Painting LLC,31-60,7700.0,2026-06-04
Foundation Building Materials (FBM),Current,778787.77,2026-06-04
Foundation Building Materials (FBM),31-60,-620.94,2026-06-04
Foundation Building Materials (FBM),91+,-2979.13,2026-06-04
Garza Towing LLC,1-30,675.0,2026-06-04
"Gauge Telematics, Inc",Current,345.0,2026-06-04
GTO Drywall & Metal Framing LLC,Current,3325.4,2026-06-04
GTO Drywall & Metal Framing LLC,1-30,6089.4,2026-06-04
"GTZ Builders, LLC (Paulo)",Current,77626.75,2026-06-04
"Haines, Jones, & Cadbury, LLC",Current,175.0,2026-06-04
Hilti,Current,2946.11,2026-06-04
Home Depot,Current,71539.66,2026-06-04
Home Depot (HD Pro),Current,660726.11,2026-06-04
IN Department of Revenue,Current,8825.0,2026-06-04
Indianapolis Propane Exchange LLC,Current,519.15,2026-06-04
"Indy Crush Brothers, LLC (Indy Crusher)",91+,10.8,2026-06-04
"Indy Pro Painters Services, LLC",Current,21627.9,2026-06-04
"Indy Pro Painters Services, LLC",31-60,4622.5,2026-06-04
"Indy Pro Painters Services, LLC",61-90,10740.0,2026-06-04
Interior Product Supply (IPS) GMS Co (Cherokee BM),Current,9627.96,2026-06-04
Interior Supply Inc (ISI),Current,170835.66,2026-06-04
Interior Supply Inc (ISI),1-30,13.37,2026-06-04
Iracheta Drywall LLC,Current,29387.75,2026-06-04
Iracheta Drywall LLC,61-90,1972.98,2026-06-04
JC Drywall LLC (JCD),Current,70.0,2026-06-04
JC Drywall LLC (JCD),91+,3077.1,2026-06-04
Jordan Birge,Current,1634.49,2026-06-04
Jose Antonio Gallegos Alvarez,Current,103176.14,2026-06-04
Jose Antonio Gallegos Alvarez,1-30,890.5,2026-06-04
Jose Antonio Gallegos Alvarez,31-60,6384.2,2026-06-04
Jose Antonio Gallegos Alvarez,61-90,3003.54,2026-06-04
Jose Antonio Gallegos Alvarez,91+,4945.6,2026-06-04
JR Woodworks and Custom Cabinets LLC,Current,6010.0,2026-06-04
Julio Juarez (Expenses),Current,52.36,2026-06-04
Kelley Bros Hardware Corp,91+,-369.15,2026-06-04
Kevin Garcia,1-30,200.0,2026-06-04
Kjt General Construction LLC (V),Current,8971.91,2026-06-04
Lanmor Services,Current,2945.15,2026-06-04
LH Industrial,Current,20346.53,2026-06-04
LH Industrial,61-90,-117.52,2026-06-04
Lion's Construction LLC,Current,5472.55,2026-06-04
Lion's Construction LLC,91+,617.1,2026-06-04
LL Herrera LLC,Current,3056.61,2026-06-04
"Lot Construction, LLC (Omar)",Current,1858.7,2026-06-04
"Lot Construction, LLC (Omar)",31-60,1293.6,2026-06-04
Lowe's,Current,308597.34,2026-06-04
Lowe's,1-30,21218.69,2026-06-04
Lowe's,31-60,10644.04,2026-06-04
Lowe's,61-90,76.41,2026-06-04
MacAllister Rentals (R),Current,52609.54,2026-06-04
MacAllister Rentals (R),91+,-133.75,2026-06-04
Mariona Construction LLC,Current,5913.56,2026-06-04
Mendoza Construction LLC (V),Current,73602.27,2026-06-04
Mendoza Construction LLC (V),31-60,3736.5,2026-06-04
Mendoza Construction LLC (V),91+,9485.38,2026-06-04
Mirabito Energy Products,Current,210.97,2026-06-04
Miracle Painting LLC - Jose Otoya,Current,6797.68,2026-06-04
"Multiple Indiana Services, LLC",Current,53525.0,2026-06-04
Nemix Painting & Construction LLC,Current,47259.06,2026-06-04
Nemix Painting & Construction LLC,31-60,10510.87,2026-06-04
Nemix Painting & Construction LLC,61-90,3410.14,2026-06-04
Nemix Painting & Construction LLC,91+,5812.8,2026-06-04
"NTC, Inc (National Transportation Consultants)",Current,651.5,2026-06-04
Oaks Dumpster Rental,Current,3981.13,2026-06-04
Ociel Medina (Gem Interiors),Current,5256.04,2026-06-04
"Oliverio Mejia H, LLC",Current,2340.0,2026-06-04
"Oliverio Mejia H, LLC",1-30,2100.0,2026-06-04
On-Site Supply,Current,1143.4,2026-06-04
"Pomp's Tire Service, Inc.",Current,383.17,2026-06-04
Precise Tile and Stone LLC,Current,3099.87,2026-06-04
Precision Doors & Hardware,91+,6000.0,2026-06-04
Prime Drywall Services LLC,Current,145871.11,2026-06-04
Prime Drywall Services LLC,31-60,3404.64,2026-06-04
Prime Drywall Services LLC,91+,3200.56,2026-06-04
Professional Handling and Distribution,Current,8356.22,2026-06-04
RGT Construction LLC,91+,346.5,2026-06-04
Riteway Tool & Fasteners,Current,18072.81,2026-06-04
Riteway Tool & Fasteners,91+,-44.73,2026-06-04
Rob Linville (Expenses),1-30,53.43,2026-06-04
Sandra Yanett Ayala LLC,Current,5476.52,2026-06-04
Sandra Yanett Ayala LLC,1-30,568.9,2026-06-04
Sandra Yanett Ayala LLC,31-60,2775.11,2026-06-04
Sandra Yanett Ayala LLC,61-90,6780.83,2026-06-04
"Saravia Drywall, LLC",Current,5400.0,2026-06-04
Shaevitz Construction Inc.,Current,2277.46,2026-06-04
Sherwin Williams,Current,166395.92,2026-06-04
Sherwin Williams,1-30,2123.11,2026-06-04
Sherwin Williams,31-60,24.25,2026-06-04
Sherwin Williams,61-90,-511.22,2026-06-04
Sherwin Williams,91+,-470.42,2026-06-04
"Southwest Solutions Group, Inc.",Current,1080.0,2026-06-04
Sunbelt Rentals Inc.,Current,1907.34,2026-06-04
The Best Tile Installation (Nagio Company LLC),Current,833.75,2026-06-04
Top Team Quality Building LLC,Current,5378.2,2026-06-04
Top Team Quality Building LLC,31-60,819.2,2026-06-04
United (GMS)/Cherokee Building Materials,Current,134522.5,2026-06-04
United Rentals Inc.,Current,63627.55,2026-06-04
United Rentals Inc.,1-30,8470.21,2026-06-04
Valley Interior Products (GMS),Current,302.7,2026-06-04
Valley Interior Products (GMS),91+,-1141.64,2026-06-04
Victor Garza (Expenses),1-30,165.68,2026-06-04
Wells Fargo,1-30,1710.14,2026-06-04
"White Cap, L.P.",Current,745.05,2026-06-04
Xiber LLC,Current,962.9,2026-06-04
