Customer,Bucket,Amount,IsRetainage,AsOfDate
"ACS-Affiliated Construction Services, Inc.",Current,45416.23,FALSE,2026-06-17
"ACS-Affiliated Construction Services, Inc.",1-30,36620.15,FALSE,2026-06-17
"ACS-Affiliated Construction Services, Inc.",31-60,72880.67,FALSE,2026-06-17
"ACS-Affiliated Construction Services, Inc.",91+,144737.82,FALSE,2026-06-17
Arbor Homes,Current,112439.58,FALSE,2026-06-17
Arbor Homes,61-90,20386.58,FALSE,2026-06-17
Arbor Homes,91+,-12094.76,FALSE,2026-06-17
ARCO Design/Build,Current,385369.33,FALSE,2026-06-17
ARCO Design/Build,1-30,26117.77,FALSE,2026-06-17
ARCO Design/Build,31-60,73818.0,FALSE,2026-06-17
ARCO Design/Build,91+,22752.0,FALSE,2026-06-17
"Avenue Construction, Inc.",Current,387512.38,FALSE,2026-06-17
"Avenue Construction, Inc.",31-60,66047.2,FALSE,2026-06-17
Becknell Industries,Current,13100.0,FALSE,2026-06-17
Becknell Industries,91+,2500.0,FALSE,2026-06-17
Big Dawg Drywall,1-30,5928.42,FALSE,2026-06-17
Big Dawg Drywall,91+,7365.93,FALSE,2026-06-17
"Bischoff Construction, LLC",Current,4020.0,FALSE,2026-06-17
"BW Facility Management, LLC",Current,34444.01,FALSE,2026-06-17
"Cargo Loop, LLC",Current,10417.0,FALSE,2026-06-17
"Centric Projects, LLC",Current,174505.69,FALSE,2026-06-17
"Centric Projects, LLC",1-30,77705.72,FALSE,2026-06-17
Clark Construction,Current,889172.0,FALSE,2026-06-17
Clark Construction,1-30,129947.0,FALSE,2026-06-17
Community Drywall,91+,13844.41,FALSE,2026-06-17
Compass Commercial Construction Group,Current,352621.67,FALSE,2026-06-17
Compass Commercial Construction Group,31-60,68841.54,FALSE,2026-06-17
Convivio Italian Artisan Cuisine (SPIGA Noblesville),Current,2555.2,FALSE,2026-06-17
Cornerstone Flooring,61-90,7500.0,FALSE,2026-06-17
"County Prestress & Precast, LLC",Current,30500.0,FALSE,2026-06-17
"County Prestress & Precast, LLC",31-60,22000.0,FALSE,2026-06-17
Daniel T Swanson,1-30,16000.0,FALSE,2026-06-17
"DEEM, LLC",Current,61895.38,FALSE,2026-06-17
"DEEM, LLC",1-30,2000.0,FALSE,2026-06-17
"DEEM, LLC",31-60,4225.5,FALSE,2026-06-17
"DEEM, LLC",61-90,28757.01,FALSE,2026-06-17
"DEEM, LLC",91+,5000.03,FALSE,2026-06-17
"Diaz Gutter and Drywall, LLC",91+,2399.42,FALSE,2026-06-17
DLR Group,31-60,4500.0,FALSE,2026-06-17
Enviro-Max,61-90,3500.0,FALSE,2026-06-17
Flores Drywall and Remodeling LLC,Current,91048.9,FALSE,2026-06-17
Flores Drywall and Remodeling LLC,1-30,15112.12,FALSE,2026-06-17
"Forge Construction, LLC",Current,3600.0,FALSE,2026-06-17
Garmong Construction Services,Current,141648.31,FALSE,2026-06-17
Garmong Construction Services,1-30,236453.93,FALSE,2026-06-17
GSI - Gregory Scott Inabnit LLC,91+,52867.87,FALSE,2026-06-17
Holladay Construction Group,Current,202650.67,FALSE,2026-06-17
Holladay Construction Group,1-30,82260.0,FALSE,2026-06-17
Indianapolis Fire Department,91+,768.35,FALSE,2026-06-17
Indiana Steel Fabricating,Current,8000.0,FALSE,2026-06-17
"J.C. Hart Company, Inc.",Current,96132.92,FALSE,2026-06-17
"J.C. Hart Company, Inc.",1-30,63353.47,FALSE,2026-06-17
"JRA Architecture, LLC",1-30,6000.0,FALSE,2026-06-17
Kjt General Construction,61-90,2072.89,FALSE,2026-06-17
Kjt General Construction,91+,26152.31,FALSE,2026-06-17
"Lauth Group, Inc.",91+,5000.0,FALSE,2026-06-17
Marous Brothers Construction,Current,119746.42,FALSE,2026-06-17
Marous Brothers Construction,1-30,435716.98,FALSE,2026-06-17
Marous Brothers Construction,31-60,0.01,FALSE,2026-06-17
"MDG Holdings, LLC",91+,4708.82,FALSE,2026-06-17
Meyer Najem,Current,6267.5,FALSE,2026-06-17
Meyer Najem,61-90,26925.21,FALSE,2026-06-17
Meyer Najem,91+,188023.46,FALSE,2026-06-17
Michael Valentine,91+,12430.13,FALSE,2026-06-17
MILHAUS Construction,Current,509895.0,FALSE,2026-06-17
MILHAUS Construction,1-30,206955.0,FALSE,2026-06-17
MILHAUS Construction,31-60,510367.5,FALSE,2026-06-17
MILHAUS Construction,61-90,256635.0,FALSE,2026-06-17
