Customer,Revenue2026
Thompson Thrift Construction,2717218.65
"The Peterson Company, LLC",2587643.01
"DEEM, LLC",2041679.82
Marous Brothers Construction,2039464.17
Skender Construction of Indiana LLC,2035601.3
MILHAUS Construction,1886647.5
Compass Commercial Construction Group,1704370.92
Garmong Construction Services,1361655.25
Old Town Construction,1301231.96
Clark Construction,1059801
"Avenue Construction, Inc.",894486.1
Arbor Homes,880039.92
ARCO Design/Build,655801.1
"J.C. Hart Company, Inc.",587907.95
Patch Development,570824.56
Shiel Sexton,488752.35
Midwest Design Group - Misc,413250
"ACS-Affiliated Construction Services, Inc.",349956.39
Holladay Construction Group,317850.67
"Centric Projects, LLC",252211.41
"Raley Wake, LLC",220397.67
Flores Drywall and Remodeling LLC,153330.51
"County Prestress & Precast, LLC",146400
"Bischoff Construction, LLC",143221
Big Dawg Drywall,135671.53
"Bunge North America (East), LLC",121051.03
Precision Dry Wall,85205.16
"Novo Development Group, LLC",84018
Stenz Corp,77175
"The ACTS Collaborative, LLC",62239.5
Meyer Najem,39830.53
"JRA Architecture, LLC",38750
"Cargo Loop, LLC",38259.5
"BW Facility Management, LLC",34444.01
Curran Architecture,31925
Vikan North America,30000
Kjt General Construction,20720.33
Pulte Homes,16826.61
Premier Custom Homes,16133.4
Daniel T Swanson,16000
GSI - Gregory Scott Inabnit LLC,14361.47
Becknell Industries,13100
Michael Valentine,11616.94
"Forge Construction, LLC",11160
"Kort Builders, Inc",9745
RenoSys,9000
"Pro Fix Drywaller, LLC",8479.96
Indiana Steel Fabricating,8000
Cornerstone Flooring,7500
Freije Engineered Solutions Company,5000
Elbrecht Investments LLC,4820
Convivio Italian Artisan Cuisine (SPIGA Noblesville),4555.2
DLR Group,4500
Enviro-Max,3500
Mendoza,995.75
222 E Ohio LLC,0
Old Town Design Group,-129.56
