Account,Period,PeriodEnd,DivKey,Amount,Category
Billable Expense Income,FY2024,2024-12-31,ALL,10032.0,Revenue
Doors and Windows,FY2024,2024-12-31,ALL,237386.66,Revenue
Drywall Sales Income,FY2024,2024-12-31,DW,-6863.55,Revenue
Drywall Service Income,FY2024,2024-12-31,DW,3983560.92,Revenue
Drywall Division Delivery Income,FY2024,2024-12-31,DW,1062721.25,Revenue
Drywall Division Material Income,FY2024,2024-12-31,DW,2840679.74,Revenue
Drywall Tax,FY2024,2024-12-31,DW,348.74,Revenue
Engineering Project Income,FY2024,2024-12-31,EN,16000.0,Revenue
Finishes,FY2024,2024-12-31,ALL,1499889.18,Revenue
Metals,FY2024,2024-12-31,ALL,1715940.63,Revenue
Sales,FY2024,2024-12-31,ALL,4079740.08,Revenue
Service/Fee Income,FY2024,2024-12-31,ALL,22772419.95,Revenue
Specialties,FY2024,2024-12-31,ALL,87799.97,Revenue
Thermal and Moisture Control,FY2024,2024-12-31,ALL,401319.14,Revenue
WIP Adj - Net change,FY2024,2024-12-31,ALL,67516.35,Revenue
Wood and Plastics,FY2024,2024-12-31,ALL,769283.84,Revenue
Cost of labor - Contractors,FY2024,2024-12-31,ALL,8808010.66,COGS
Cost of labor - Direct Labor,FY2024,2024-12-31,ALL,184100.65,COGS
Drywall Supply External Expense,FY2024,2024-12-31,DW,5816123.6,COGS
Drywall Supply Internal Expense,FY2024,2024-12-31,DW,3968871.29,COGS
Job Site Expenses,FY2024,2024-12-31,ALL,8775597.67,COGS
Equipment Rental,FY2024,2024-12-31,ALL,920967.55,COGS
Per Diem Job Expense,FY2024,2024-12-31,ALL,1500.0,COGS
"Shipping, Freight & Delivery - COS",FY2024,2024-12-31,ALL,50.0,COGS
Vendor Discounts,FY2024,2024-12-31,ALL,-40004.49,COGS
Advertising & Marketing,FY2024,2024-12-31,ALL,95529.38,Operating Expense
Bad Debt,FY2024,2024-12-31,ALL,23833.47,Operating Expense
Bank Charges & Fees,FY2024,2024-12-31,ALL,6245.61,Operating Expense
Car & Truck,FY2024,2024-12-31,ALL,295631.01,Operating Expense
DEF - Boom Truck,FY2024,2024-12-31,ALL,53.48,Operating Expense
DOT Boom Trucks Compliance,FY2024,2024-12-31,ALL,156.66,Operating Expense
Fuel Diesel - Boom Truck,FY2024,2024-12-31,ALL,43432.76,Operating Expense
Fuel Truck - Company Pickup,FY2024,2024-12-31,ALL,602.67,Operating Expense
Service - Boom Truck,FY2024,2024-12-31,ALL,8302.63,Operating Expense
Charitable Contributions,FY2024,2024-12-31,ALL,9650.0,Operating Expense
Contractors,FY2024,2024-12-31,ALL,29907.28,Operating Expense
Depreciation,FY2024,2024-12-31,ALL,159278.79,Operating Expense
Drywall Division Labor - Subcontractors,FY2024,2024-12-31,DW,147790.5,Operating Expense
Dues & subscriptions,FY2024,2024-12-31,ALL,4350.79,Operating Expense
Equipment/Vehicle Rental,FY2024,2024-12-31,ALL,8828.66,Operating Expense
Freight,FY2024,2024-12-31,ALL,1800.0,Operating Expense
Insurance,FY2024,2024-12-31,ALL,186947.02,Operating Expense
Interest Paid,FY2024,2024-12-31,ALL,240799.34,Operating Expense
Job Supplies,FY2024,2024-12-31,ALL,31581.94,Operating Expense
Legal & Professional Services,FY2024,2024-12-31,ALL,236680.09,Operating Expense
Meals & Entertainment,FY2024,2024-12-31,ALL,166308.92,Operating Expense
Melio Credit card fee,FY2024,2024-12-31,ALL,60.0,Operating Expense
Office Supplies & Software,FY2024,2024-12-31,ALL,171877.26,Operating Expense
Software Subscription/Use Fee,FY2024,2024-12-31,ALL,249.99,Operating Expense
Other Business Expenses,FY2024,2024-12-31,ALL,3875.79,Operating Expense
Outsourced IT Services,FY2024,2024-12-31,ALL,49394.22,Operating Expense
Bonus,FY2024,2024-12-31,ALL,307801.24,Operating Expense
Commission,FY2024,2024-12-31,ALL,95163.98,Operating Expense
Employee Benefits,FY2024,2024-12-31,ALL,222721.47,Operating Expense
Health Insurance,FY2024,2024-12-31,ALL,18452.01,Operating Expense
Payroll Fees,FY2024,2024-12-31,ALL,50898.56,Operating Expense
Taxes,FY2024,2024-12-31,ALL,359219.18,Operating Expense
Wages,FY2024,2024-12-31,ALL,4255653.27,Operating Expense
Property Tax,FY2024,2024-12-31,ALL,26000.0,Operating Expense
Reimbursable Expenses,FY2024,2024-12-31,ALL,12195.98,Operating Expense
Rent & Lease,FY2024,2024-12-31,ALL,553295.17,Operating Expense
Repairs & Maintenance,FY2024,2024-12-31,ALL,100368.49,Operating Expense
Small Tools & Equipment,FY2024,2024-12-31,ALL,67494.59,Operating Expense
Taxes & Licenses,FY2024,2024-12-31,ALL,82933.23,Operating Expense
Travel,FY2024,2024-12-31,ALL,133886.05,Operating Expense
Utilities,FY2024,2024-12-31,ALL,39792.66,Operating Expense
Credit Card Rewards,FY2024,2024-12-31,ALL,1630.56,Other Income
Interest Earned,FY2024,2024-12-31,ALL,0.18,Other Income
Other Income,FY2024,2024-12-31,ALL,45680.23,Other Income
Subletter Rent Income,FY2024,2024-12-31,ALL,19535.36,Other Income
Subletter Utility Income,FY2024,2024-12-31,ALL,2000.0,Other Income
Gain or Loss on Assets,FY2024,2024-12-31,ALL,23197.6,Other Expense
Billable Expense Income,FY2025,2025-12-31,ALL,543.0,Revenue
Doors and Windows,FY2025,2025-12-31,ALL,4594.5,Revenue
Drywall Service Income,FY2025,2025-12-31,DW,3358176.13,Revenue
Drywall Division Delivery Income,FY2025,2025-12-31,DW,201.04,Revenue
Drywall Division Material Income,FY2025,2025-12-31,DW,2824148.9,Revenue
Drywall Supply Arbor Income,FY2025,2025-12-31,DW,959002.74,Revenue
Drywall Supply Century Income,FY2025,2025-12-31,DW,105734.39,Revenue
Drywall Supply HD Boom Scatter Income,FY2025,2025-12-31,DW,174372.44,Revenue
Drywall Supply Pulte Income,FY2025,2025-12-31,DW,6230.22,Revenue
Drywall Tax,FY2025,2025-12-31,DW,67.77,Revenue
Engineering Project Income,FY2025,2025-12-31,EN,709295.0,Revenue
Finishes,FY2025,2025-12-31,ALL,76310.01,Revenue
Sales,FY2025,2025-12-31,ALL,13469.39,Revenue
Service/Fee Income,FY2025,2025-12-31,ALL,33721642.66,Revenue
Specialties,FY2025,2025-12-31,ALL,2713.5,Revenue
WIP Adj - Net change,FY2025,2025-12-31,ALL,-1464686.27,Revenue
Cost of labor - Contractors,FY2025,2025-12-31,ALL,9409610.39,COGS
