Job,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Total Jan-May
MF.2025.972 Union Flats - Fishers,27090.0,229770.0,486459.0,841491.0,571623.75,2156433.75
MF.2025.1019 Town & Country Apartments (NY MF Project - 22 bldgs),246097.48,562089.22,675814.07,0.0,435716.98,1919717.75
2025.964 Avon Municipal Building,363417.48,173192.63,226932.38,220010.73,236453.93,1220007.15
MF.2024.931 Wild Air,166011.35,148756.83,226412.55,408053.89,126290.65,1075525.27
2025.1029 Resmed - Indy 500,41976.09,65098.75,104940.22,538961.21,217317.46,968293.73
MF.2025.989-2 Springdale Cinema - Drywall,122512.5,224842.5,256635.0,344520.0,0.0,948510.0
2025.1024 Metro Lion,231487.2,553922.8,0.0,1300.0,0.0,786710.0
2025.991 Walmart Republic,65246.93,194391.63,141074.42,186798.6,0.0,587511.58
2025.978 Ardalan Plaza,29270.16,88455.24,182393.32,58873.86,193598.5,552591.08
MF.2024.928 Holliday Farms Assisted Living - Zionsville,75888.38,23629.34,56885.34,54038.62,338327.69,548769.37
2025.1001 Evolve Transporters,290318.22,204675.12,10660.05,30489.3,1341.0,537483.69
2025.1023 Vikan Products BTS,0.0,16087.5,95690.7,205262.77,198556.32,515597.29
2025.1030 Westfield Police HQ,0.0,0.0,0.0,94815.0,420570.0,515385.0
MF.2024.892 The Lofts at Headwaters Park,161432.46,114855.12,62543.7,89590.28,63353.47,491775.03
2025.990 Walmart Orlando,55072.44,100249.47,127771.38,133941.78,74099.79,491134.86
MF.2025.992 Young's Creek Apartments,127149.57,58491.67,30618.0,272493.11,0.0,488752.35
2026.1035 The Ark,0.0,0.0,228065.58,86809.68,156749.71,471624.97
MF.2025.989-1 Springdale Cinema - Paint,0.0,0.0,55440.0,165847.5,206955.0,428242.5
Priority Way Office,0.0,0.0,413250.0,0.0,0.0,413250.0
2025.1026 HNTB Buildout (Salesforce Tower),40056.3,92546.64,111708.94,75748.68,92235.04,412295.6
2026.1042 SND2 at ILP Bldg IV Whitestown,0.0,0.0,164669.04,68841.54,123216.76,356727.34
MF.2024.945 Encore Senior Living,43797.38,94697.22,54087.55,91941.31,61193.27,345716.73
2024.950 Caterpillar Triple Crown,9448.35,147545.92,38045.07,72880.67,36620.15,304540.16
2025.994 Stotan Port Laredo Spec Offices,107527.5,25920.0,27180.0,0.0,114932.8,275560.3
MF.2026.1050 AC Hotel,0.0,0.0,0.0,0.0,202650.67,202650.67
2026.1033 Avon Demising Wall,0.0,0.0,181500.0,0.0,0.0,181500.0
2024.909 Andretti Global HQ,40682.0,0.0,0.0,0.0,129947.0,170629.0
2026.1038 Artistic Composite Pallet Expansion,0.0,0.0,104592.42,65920.59,0.0,170513.01
2025.1006 Keller Office,0.0,0.0,0.0,0.0,168520.5,168520.5
2026.1041 Whiteland Building 2 - Blackhawk,0.0,0.0,0.0,111888.0,44532.3,156420.3
2026.1047 Springdale Building 4 Demising Walls,0.0,0.0,0.0,0.0,148800.0,148800.0
2025.1027 Indy Boat Co,0.0,0.0,0.0,53062.2,83283.7,136345.9
2026.1043 Deer Creek Building 1,0.0,0.0,135000.0,0.0,0.0,135000.0
2026.1045 First OnSite (Ameriplex),0.0,0.0,0.0,128000.0,0.0,128000.0
2026.1037 CV - Castle Rock,0.0,125451.0,0.0,0.0,2000.0,127451.0
2026.1046 Automatic Distributors (Park 130 Bldg 6),0.0,0.0,0.0,32697.0,91953.0,124650.0
2025.967 Bunge Project Flex,0.0,11965.23,109085.8,0.0,0.0,121051.03
2026.1036 Port Laredo Trade Center,0.0,0.0,73818.0,0.0,34657.0,108475.0
2025.1012 Airport South Logistics Bldg. B,0.0,0.0,9868.5,26117.77,67259.03,103245.3
MF.2025.977 Civic Square Condos,16373.48,2902.5,3275.1,0.0,61611.56,84162.64
MF.2025.975 The Eleven - Monon Square,0.0,0.0,0.0,30587.39,47118.33,77705.72
2025.1032 65 Commerce Park Building 7,0.0,0.0,0.0,0.0,71314.2,71314.2
2025.981 Fort Ben - Foamcraft,0.0,69374.88,0.0,0.0,0.0,69374.88
MF.2025.976 Firefly Youth Housing,4050.0,0.0,18000.0,36934.63,9000.0,67984.63
2023.839 Hamilton County National Guard Readiness Center,0.0,0.0,0.0,58016.76,0.0,58016.76
